Wavelength	Transit Depth
(meters)	(percent)
3.195416e-07	2.192092e+00
3.198607e-07	2.191930e+00
3.201800e-07	2.191780e+00
3.204998e-07	2.191630e+00
3.208198e-07	2.191480e+00
3.211401e-07	2.191331e+00
3.214608e-07	2.191182e+00
3.217818e-07	2.191033e+00
3.221031e-07	2.190885e+00
3.224247e-07	2.203988e+00
3.227467e-07	2.190589e+00
3.230690e-07	2.190441e+00
3.233916e-07	2.190294e+00
3.237145e-07	2.190148e+00
3.240377e-07	2.190001e+00
3.243613e-07	2.189855e+00
3.246852e-07	2.189709e+00
3.250094e-07	2.189564e+00
3.253339e-07	2.189418e+00
3.256588e-07	2.189273e+00
3.259840e-07	2.189129e+00
3.263095e-07	2.188985e+00
3.266353e-07	2.188841e+00
3.269615e-07	2.228036e+00
3.272879e-07	2.188554e+00
3.276147e-07	2.188411e+00
3.279419e-07	2.188268e+00
3.282693e-07	2.188126e+00
3.285971e-07	2.187984e+00
3.289253e-07	2.187842e+00
3.292537e-07	2.187718e+00
3.295825e-07	2.187565e+00
3.299116e-07	2.187418e+00
3.302410e-07	2.187280e+00
3.305708e-07	2.187138e+00
3.309008e-07	2.186998e+00
3.312313e-07	2.186858e+00
3.315620e-07	2.186720e+00
3.318931e-07	2.186581e+00
3.322245e-07	2.186442e+00
3.325562e-07	2.186304e+00
3.328883e-07	2.186166e+00
3.332207e-07	2.186028e+00
3.335534e-07	2.189899e+00
3.338865e-07	2.185754e+00
3.342199e-07	2.185618e+00
3.345536e-07	2.185490e+00
3.348877e-07	2.185345e+00
3.352221e-07	2.185209e+00
3.355568e-07	2.185080e+00
3.358919e-07	2.184939e+00
3.362273e-07	2.184804e+00
3.365630e-07	2.184670e+00
3.368991e-07	2.184535e+00
3.372355e-07	2.184402e+00
3.375722e-07	2.184386e+00
3.379093e-07	2.184135e+00
3.382467e-07	2.184002e+00
3.385845e-07	2.183870e+00
3.389226e-07	2.183738e+00
3.392610e-07	2.183605e+00
3.395998e-07	2.183474e+00
3.399389e-07	2.183343e+00
3.402783e-07	2.183212e+00
3.406181e-07	2.183081e+00
3.409582e-07	2.182951e+00
3.412987e-07	2.182821e+00
3.416395e-07	2.182691e+00
3.419806e-07	2.182562e+00
3.423221e-07	2.182433e+00
3.426639e-07	2.182308e+00
3.430061e-07	2.182176e+00
3.433486e-07	2.182048e+00
3.436914e-07	2.181949e+00
3.440346e-07	2.181792e+00
3.443781e-07	2.181665e+00
3.447220e-07	2.181538e+00
3.450662e-07	2.181412e+00
3.454108e-07	2.181286e+00
3.457557e-07	2.181160e+00
3.461010e-07	2.181208e+00
